1141,141,1314,167,1303,238,1130,212
377,190,726,137,748,282,399,335
770,156,1087,156,1087,297,770,297
90,148,404,213,377,342,63,277
1311,180,1428,180,1428,238,1311,238
1184,243,1301,243,1301,321,1184,321
1321,273,1433,273,1433,336,1321,336
692,351,819,351,819,424,692,424
867,355,999,355,999,429,867,429
1014,355,1131,355,1131,424,1014,424
553,370,680,356,688,433,562,447
366,403,552,376,563,455,377,482
916,433,1033,433,1033,507,916,507
775,443,901,443,901,507,775,507
648,448,760,448,760,511,648,511
1053,448,1145,448,1145,502,1053,502
526,453,643,453,643,526,526,526
355,477,433,477,433,550,355,550
443,482,511,482,511,536,443,536
765,516,892,516,892,589,765,589
901,521,994,521,994,589,901,589
1004,521,1174,521,1174,589,1004,589
543,537,748,512,757,584,552,609
468,546,541,546,541,614,468,614
341,565,458,565,458,628,341,628
495,625,689,599,699,670,504,696
702,609,799,609,799,663,702,663
814,609,1004,609,1004,663,814,663
624,682,731,682,731,750,624,750
799,682,1009,682,1009,750,799,750
731,687,780,687,780,741,731,741
1023,687,1135,687,1135,745,1023,745
497,692,614,692,614,770,497,770
375,706,492,706,492,780,375,780
692,760,838,760,838,828,692,828
853,760,979,760,979,828,853,828
989,760,1067,760,1067,828,989,828
536,765,638,765,638,843,536,843
434,795,520,787,525,842,439,850
975,833,1150,833,1150,911,975,911
760,843,892,843,892,911,760,911
901,843,965,843,965,911,901,911
1160,848,1326,848,1326,916,1160,916
628,853,750,853,750,916,628,916
1330,853,1394,853,1394,916,1330,916
468,862,619,862,619,926,468,926
341,867,463,867,463,931,341,931
238,872,321,872,321,926,238,926
1140,921,1316,921,1316,989,1140,989
711,926,931,926,931,989,711,989
945,926,1126,926,1126,989,945,989
541,936,702,936,702,1004,541,1004
424,940,536,940,536,1009,424,1009
209,945,409,945,409,1004,209,1004
975,994,1194,994,1194,1072,975,1072
687,999,775,999,775,1072,687,1072
784,1009,960,1009,960,1077,784,1077
448,1014,575,1014,575,1077,448,1077
321,1018,438,1018,438,1087,321,1087
589,1018,682,1018,682,1072,589,1072
721,1087,892,1087,892,1150,721,1150
132,1088,307,1107,301,1161,126,1142
594,1096,716,1096,716,1150,594,1150
314,1105,452,1098,455,1164,317,1172
459,1096,589,1107,584,1167,454,1156
170,1167,335,1181,330,1236,166,1222
594,1170,721,1170,721,1233,594,1233
336,1180,461,1170,466,1230,341,1240
472,1179,585,1179,585,1233,472,1233
170,1243,292,1243,292,1301,170,1301
302,1252,433,1252,433,1306,302,1306
1277,1252,1345,1252,1345,1301,1277,1301
1360,1257,1438,1257,1438,1316,1360,1316
166,1313,334,1326,330,1381,162,1368
351,1326,480,1315,486,1381,356,1392
502,1326,550,1326,550,1379,502,1379
580,1326,721,1326,721,1384,580,1384
755,1326,1116,1326,1116,1379,755,1379
1145,1326,1301,1326,1301,1379,1145,1379
1340,1330,1457,1330,1457,1379,1340,1379
165,1394,312,1394,312,1452,165,1452
531,1394,624,1394,624,1457,531,1457
409,1399,531,1399,531,1452,409,1452
716,1399,789,1399,789,1457,716,1457
794,1399,867,1399,867,1452,794,1452
307,1404,409,1404,409,1457,307,1457
614,1404,711,1404,711,1457,614,1457
867,1404,936,1404,936,1452,867,1452
68,1467,107,1467,107,1516,68,1516
131,1465,280,1472,277,1527,129,1520
399,1472,497,1472,497,1525,399,1525
302,1477,390,1477,390,1525,302,1525
170,1540,302,1540,302,1594,170,1594
448,1540,555,1540,555,1608,448,1608
341,1545,433,1545,433,1599,341,1599
565,1550,658,1550,658,1603,565,1603
672,1555,770,1555,770,1608,672,1608
302,1564,331,1564,331,1594,302,1594
170,1616,294,1623,292,1673,168,1666
316,1618,424,1618,424,1681,316,1681
429,1617,560,1629,555,1689,424,1677
565,1623,682,1623,682,1677,565,1677
703,1617,859,1636,852,1695,696,1676
867,1633,989,1633,989,1686,867,1686
1010,1625,1184,1638,1179,1703,1005,1690
1369,1633,1452,1633,1452,1686,1369,1686
1189,1638,1291,1638,1291,1691,1189,1691
1311,1642,1360,1642,1360,1691,1311,1691
165,1696,248,1696,248,1745,165,1745
131,1764,229,1764,229,1818,131,1818
238,1764,355,1764,355,1823,238,1823
68,1769,117,1769,117,1818,68,1818
287,1833,380,1833,380,1891,287,1891
170,1837,273,1837,273,1891,170,1891
170,1911,277,1911,277,1964,170,1964
287,1911,380,1911,380,1964,287,1964
170,1984,273,1984,273,2037,170,2037
273,1984,331,1984,331,2037,273,2037
331,1984,482,1984,482,2052,331,2052
477,1989,580,1989,580,2047,477,2047
589,1989,658,1989,658,2052,589,2052
663,1993,775,1993,775,2062,663,2062
770,1998,901,1998,901,2057,770,2057
911,2003,1009,2003,1009,2057,911,2057
1009,2008,1082,2008,1082,2062,1009,2062
1082,2008,1140,2008,1140,2067,1082,2067
1142,2003,1263,2021,1255,2078,1133,2061
166,2054,309,2060,306,2117,163,2110
312,2055,436,2062,433,2119,309,2111
433,2062,526,2062,526,2115,433,2115
531,2062,599,2062,599,2120,531,2120
604,2071,672,2071,672,2125,604,2125
672,2076,784,2076,784,2125,672,2125
274,2123,415,2137,408,2201,267,2187
126,2135,263,2135,263,2188,126,2188
482,2135,604,2135,604,2203,482,2203
409,2140,472,2140,472,2188,409,2188
600,2142,745,2153,740,2220,595,2209
165,2198,273,2198,273,2257,165,2257
277,2203,375,2203,375,2262,277,2262
375,2213,404,2213,404,2257,375,2257
404,2208,487,2208,487,2262,404,2262
497,2208,609,2208,609,2281,497,2281
609,2218,711,2218,711,2281,609,2281
833,2223,936,2223,936,2291,833,2291
711,2227,823,2227,823,2281,711,2281
931,2227,1023,2227,1023,2296,931,2296
1023,2237,1135,2237,1135,2296,1023,2296
1135,2242,1257,2242,1257,2310,1135,2310
1257,2247,1394,2247,1394,2310,1257,2310
229,2271,326,2271,326,2330,229,2330
199,2291,229,2291,229,2330,199,2330
126,2349,302,2349,302,2413,126,2413
312,2349,394,2349,394,2403,312,2403
394,2354,511,2354,511,2413,394,2413
73,2369,121,2369,121,2422,73,2422
229,2427,326,2427,326,2481,229,2481
331,2427,409,2427,409,2476,331,2476
409,2427,502,2427,502,2491,409,2491
165,2432,229,2432,229,2486,165,2486
492,2437,555,2437,555,2491,492,2491
560,2442,706,2442,706,2500,560,2500
711,2447,848,2447,848,2515,711,2515
848,2457,945,2457,945,2515,848,2515
950,2461,1053,2461,1053,2525,950,2525
1053,2466,1204,2466,1204,2525,1053,2525
287,2496,390,2496,390,2554,287,2554
136,2505,277,2505,277,2564,136,2564
394,2505,458,2505,458,2559,394,2559
468,2510,594,2510,594,2578,468,2578
73,2520,126,2520,126,2569,73,2569
599,2523,749,2532,745,2590,596,2581
760,2530,843,2530,843,2583,760,2583
859,2526,1010,2545,1001,2612,851,2593
1009,2544,1174,2544,1174,2608,1009,2608
277,2569,351,2569,351,2617,277,2617
170,2578,273,2578,273,2632,170,2632
355,2578,443,2578,443,2627,355,2627
448,2578,526,2578,526,2632,448,2632
530,2577,666,2605,654,2663,518,2634
167,2652,316,2639,320,2693,171,2705
316,2642,414,2642,414,2695,316,2695
420,2638,574,2652,569,2713,415,2699
575,2661,677,2661,677,2725,575,2725
677,2666,775,2666,775,2725,677,2725
780,2681,892,2681,892,2730,780,2730
892,2681,1043,2681,1043,2739,892,2739
214,2720,346,2720,346,2773,214,2773
346,2720,497,2720,497,2778,346,2778
131,2725,209,2725,209,2783,131,2783
502,2734,599,2734,599,2788,502,2788
604,2744,711,2744,711,2808,604,2808
716,2749,789,2749,789,2798,716,2798
789,2749,858,2749,858,2803,789,2803
862,2754,975,2754,975,2808,862,2808
975,2764,1043,2764,1043,2817,975,2817
1048,2773,1155,2773,1155,2827,1048,2827
1262,2773,1335,2773,1335,2822,1262,2822
1160,2783,1257,2783,1257,2832,1160,2832
171,2794,330,2781,335,2841,176,2854
346,2788,404,2788,404,2837,346,2837
419,2793,487,2793,487,2847,419,2847
492,2803,589,2803,589,2861,492,2861
599,2812,663,2812,663,2866,599,2866
677,2817,745,2817,745,2866,677,2866
757,2818,892,2833,886,2889,750,2874
901,2826,1050,2834,1047,2889,899,2881
1057,2847,1165,2847,1165,2900,1057,2900
