238,222,299,229,295,259,235,252
142,229,201,229,201,256,142,256
205,233,233,233,233,256,205,256
1482,355,1565,355,1565,395,1482,395
1304,363,1351,363,1351,387,1304,387
1355,363,1403,363,1403,395,1355,395
1403,359,1486,359,1486,395,1403,395
1253,419,1332,419,1332,450,1253,450
1400,412,1481,421,1476,462,1395,453
814,419,877,419,877,454,814,454
877,419,936,419,936,454,877,454
936,419,1015,419,1015,454,936,454
1015,419,1095,419,1095,454,1015,454
1102,422,1189,422,1189,454,1102,454
1193,422,1245,422,1245,454,1193,454
1336,419,1395,419,1395,454,1336,454
1482,422,1565,422,1565,458,1482,458
549,473,630,478,628,511,547,505
462,474,541,474,541,513,462,513
689,472,761,478,758,516,685,509
763,472,864,482,860,520,759,509
861,474,928,474,928,513,861,513
989,471,1073,477,1070,515,986,509
1150,472,1268,482,1264,520,1147,510
1462,478,1518,478,1518,509,1462,509
632,478,687,478,687,521,632,521
936,486,988,486,988,513,936,513
1071,482,1142,482,1142,517,1071,517
1268,486,1308,486,1308,517,1268,517
1312,486,1371,486,1371,517,1312,517
1379,486,1454,486,1454,513,1379,513
1521,486,1565,486,1565,513,1521,513
345,511,418,519,414,556,341,548
419,511,521,522,516,563,414,552
201,517,280,517,280,553,201,553
284,517,339,517,339,561,284,561
524,525,687,517,688,549,525,558
845,517,925,517,925,557,845,557
928,517,1012,517,1012,553,928,553
1095,516,1212,525,1209,563,1092,554
1411,517,1494,517,1494,553,1411,553
138,521,197,521,197,553,138,553
691,521,727,521,727,557,691,557
751,521,834,521,834,557,751,557
1015,521,1087,521,1087,561,1015,561
1498,521,1565,521,1565,565,1498,565
1217,529,1253,529,1253,561,1217,561
1257,525,1320,525,1320,565,1257,565
1328,529,1407,529,1407,557,1328,557
194,554,275,560,272,598,191,592
609,555,729,565,726,603,606,593
142,565,193,565,193,596,142,596
276,561,316,561,316,600,276,600
320,561,379,561,379,600,320,600
456,565,529,559,532,601,460,607
735,561,814,561,814,608,735,608
1006,567,1169,562,1170,596,1008,601
1300,561,1367,561,1367,600,1300,600
1368,558,1450,569,1444,610,1363,598
383,565,458,565,458,600,383,600
533,565,608,565,608,600,533,600
818,565,877,565,877,604,818,604
881,565,956,565,956,600,881,600
964,569,1000,569,1000,600,964,600
1174,569,1233,569,1233,600,1174,600
1237,565,1300,565,1300,608,1237,608
1446,569,1502,569,1502,604,1446,604
1506,569,1565,569,1565,604,1506,604
620,624,675,624,675,652,620,652
679,620,739,620,739,652,679,652
743,620,802,620,802,664,743,664
869,620,1043,620,1043,660,869,660
1133,632,1299,620,1302,656,1135,667
806,628,865,628,865,656,806,656
1043,624,1095,624,1095,664,1043,664
1514,624,1565,624,1565,664,1514,664
1098,628,1130,628,1130,664,1098,664
1304,632,1359,632,1359,656,1304,656
1363,628,1423,628,1423,664,1363,664
1431,632,1514,632,1514,664,1431,664
711,679,822,679,822,723,711,723
820,684,916,676,919,714,823,722
921,677,1021,688,1018,725,917,715
1047,679,1102,679,1102,719,1047,719
1205,679,1268,679,1268,719,1205,719
430,683,573,683,573,719,430,719
581,687,644,687,644,719,581,719
652,687,707,687,707,719,652,719
1459,686,1566,692,1565,722,1457,717
1023,691,1047,691,1047,719,1023,719
1102,687,1162,687,1162,723,1102,723
1170,687,1205,687,1205,719,1170,719
1272,691,1308,691,1308,723,1272,723
1312,687,1454,687,1454,723,1312,723
276,719,391,719,391,762,276,762
391,725,488,715,493,754,395,764
494,717,595,727,591,764,491,754
628,719,683,719,683,762,628,762
134,723,209,723,209,759,134,759
213,723,272,723,272,759,213,759
778,723,838,723,838,762,778,762
884,729,1047,724,1048,758,885,763
1193,723,1276,723,1276,759,1193,759
1419,727,1486,727,1486,766,1419,766
600,731,624,731,624,762,600,762
691,727,731,727,731,762,691,762
739,727,774,727,774,762,739,762
845,727,877,727,877,762,845,762
1055,731,1110,731,1110,759,1055,759
1114,731,1185,731,1185,766,1114,766
1284,731,1344,731,1344,766,1284,766
1351,731,1407,731,1407,766,1351,766
1486,731,1565,731,1565,766,1486,766
1442,794,1490,794,1490,822,1442,822
1488,794,1565,789,1567,826,1491,831
1397,849,1564,842,1566,883,1399,890
202,884,291,892,288,924,199,916
292,885,383,885,383,925,292,925
387,884,472,889,470,926,385,920
704,883,821,894,817,932,700,920
138,893,193,893,193,921,138,921
881,889,936,889,936,928,881,928
1201,889,1316,889,1316,932,1201,932
1394,893,1564,885,1566,926,1396,933
474,893,557,893,557,928,474,928
565,897,620,897,620,925,565,925
624,893,699,893,699,928,624,928
826,897,881,897,881,928,826,928
944,893,1015,893,1015,928,944,928
1015,893,1087,893,1087,928,1015,928
1138,893,1197,893,1197,928,1138,928
1316,893,1387,893,1387,928,1316,928
1095,901,1134,901,1134,925,1095,925
138,928,272,928,272,968,138,968
482,928,565,928,565,964,482,964
613,927,717,934,714,971,610,964
284,932,359,932,359,972,284,972
881,935,962,940,960,969,879,964
1391,932,1561,932,1561,972,1391,972
363,936,407,936,407,976,363,976
415,936,474,936,474,972,415,972
723,940,798,940,798,972,723,972
806,940,873,940,873,972,806,972
1027,940,1067,940,1067,964,1027,964
1075,940,1170,940,1170,976,1075,976
1178,940,1261,940,1261,972,1178,972
1268,936,1348,936,1348,976,1268,976
964,940,1015,940,1015,976,964,976
1351,940,1387,940,1387,976,1351,976
467,969,548,975,545,1013,464,1007
549,971,669,975,667,1016,548,1011
142,976,284,976,284,1012,142,1012
288,976,343,976,343,1012,288,1012
347,976,395,976,395,1012,347,1012
403,980,462,980,462,1008,403,1008
794,980,960,980,960,1015,794,1015
1031,976,1170,976,1170,1015,1031,1015
672,980,739,980,739,1012,672,1012
747,984,782,984,782,1012,747,1012
968,984,1027,984,1027,1012,968,1012
1178,984,1213,984,1213,1015,1178,1015
1221,980,1312,980,1312,1015,1221,1015
1316,980,1379,980,1379,1015,1316,1015
1383,980,1482,980,1482,1015,1383,1015
1486,980,1565,980,1565,1015,1486,1015
134,1015,205,1015,205,1051,134,1051
557,1019,660,1019,660,1047,557,1047
929,1023,1038,1011,1042,1050,934,1063
209,1019,351,1019,351,1055,209,1055
363,1023,399,1023,399,1051,363,1051
407,1019,545,1019,545,1055,407,1055
672,1023,723,1023,723,1051,672,1051
735,1023,814,1023,814,1051,735,1051
865,1023,925,1023,925,1051,865,1051
1174,1019,1245,1019,1245,1059,1174,1059
1261,1019,1379,1019,1379,1059,1261,1059
822,1027,857,1027,857,1051,822,1051
1047,1027,1098,1027,1098,1055,1047,1055
1106,1023,1170,1023,1170,1059,1106,1059
1387,1023,1450,1023,1450,1059,1387,1059
1458,1023,1498,1023,1498,1059,1458,1059
1506,1023,1565,1023,1565,1059,1506,1059
134,1059,276,1059,276,1095,134,1095
288,1063,379,1063,379,1095,288,1095
454,1063,517,1063,517,1095,454,1095
806,1059,865,1059,865,1098,806,1098
960,1063,1015,1063,1015,1095,960,1095
1391,1059,1561,1059,1561,1102,1391,1102
379,1063,446,1063,446,1098,379,1098
525,1067,592,1067,592,1098,525,1098
592,1063,648,1063,648,1102,592,1102
652,1063,723,1063,723,1102,652,1102
727,1063,802,1063,802,1098,727,1098
897,1063,952,1063,952,1098,897,1098
1023,1067,1079,1067,1079,1095,1023,1095
1083,1063,1142,1063,1142,1098,1083,1098
1272,1063,1387,1063,1387,1102,1272,1102
877,1071,889,1071,889,1095,877,1095
1146,1067,1205,1067,1205,1098,1146,1098
1213,1071,1272,1071,1272,1098,1213,1098
1387,1130,1442,1130,1442,1162,1387,1162
1446,1126,1565,1126,1565,1166,1446,1166
1008,1181,1067,1181,1067,1221,1008,1221
1261,1181,1320,1181,1320,1217,1261,1217
707,1189,834,1189,834,1217,707,1217
834,1185,889,1185,889,1221,834,1221
889,1185,944,1185,944,1225,889,1225
944,1185,1008,1185,1008,1221,944,1221
1071,1185,1130,1185,1130,1217,1071,1217
1138,1186,1231,1191,1229,1222,1136,1216
1229,1185,1265,1185,1265,1225,1229,1225
1328,1189,1434,1189,1434,1217,1328,1217
1438,1189,1490,1189,1490,1221,1438,1221
1490,1189,1565,1189,1565,1225,1490,1225
332,1221,506,1221,506,1257,332,1257
502,1221,629,1228,627,1262,500,1255
683,1227,845,1223,846,1256,684,1261
853,1221,901,1221,901,1261,853,1261
1035,1219,1117,1228,1112,1269,1031,1260
1253,1218,1334,1227,1330,1268,1249,1259
138,1229,197,1229,197,1257,138,1257
201,1225,256,1225,256,1257,201,1257
260,1225,324,1225,324,1261,260,1261
636,1229,675,1229,675,1257,636,1257
909,1225,976,1225,976,1265,909,1265
984,1225,1027,1225,1027,1265,984,1265
1181,1225,1237,1225,1237,1265,1181,1265
1340,1229,1423,1229,1423,1261,1340,1261
1427,1225,1518,1225,1518,1261,1427,1261
1122,1233,1178,1233,1178,1261,1122,1261
1521,1229,1561,1229,1561,1268,1521,1268
134,1261,213,1261,213,1300,134,1300
213,1261,284,1261,284,1304,213,1304
347,1261,419,1261,419,1304,347,1304
292,1268,347,1268,347,1300,292,1300
707,1265,786,1265,786,1304,707,1304
1186,1262,1263,1270,1259,1307,1182,1300
1305,1272,1386,1262,1391,1303,1310,1313
1387,1265,1561,1265,1561,1308,1387,1308
422,1268,478,1268,478,1304,422,1304
478,1268,513,1268,513,1304,478,1304
513,1268,585,1268,585,1308,513,1308
589,1268,660,1268,660,1308,589,1308
664,1268,703,1268,703,1312,664,1312
790,1268,849,1268,849,1304,790,1304
853,1268,905,1268,905,1312,853,1312
909,1272,960,1272,960,1308,909,1308
964,1268,1015,1268,1015,1312,964,1312
1067,1272,1134,1272,1134,1304,1067,1304
1023,1276,1063,1276,1063,1300,1023,1300
1138,1272,1181,1272,1181,1308,1138,1308
1265,1272,1304,1272,1304,1312,1265,1312
1438,1332,1482,1332,1482,1371,1438,1371
1486,1332,1565,1332,1565,1367,1486,1367
166,1383,328,1383,328,1419,166,1419
391,1387,450,1387,450,1419,391,1419
450,1383,533,1383,533,1423,450,1423
668,1381,770,1391,766,1428,664,1418
332,1391,387,1391,387,1419,332,1419
533,1387,616,1387,616,1423,533,1423
897,1386,994,1392,992,1430,895,1424
1126,1387,1197,1387,1197,1423,1126,1423
616,1391,664,1391,664,1423,616,1423
774,1395,830,1395,830,1423,774,1423
834,1395,893,1395,893,1427,834,1427
996,1391,1051,1391,1051,1427,996,1427
1055,1391,1122,1391,1122,1427,1055,1427
1201,1395,1241,1395,1241,1423,1201,1423
1241,1391,1312,1391,1312,1431,1241,1431
1434,1391,1494,1391,1494,1427,1434,1427
1320,1395,1395,1395,1395,1431,1320,1431
1399,1395,1431,1395,1431,1431,1399,1431
1498,1399,1561,1399,1561,1431,1498,1431
134,1420,216,1429,211,1469,130,1460
369,1420,449,1428,445,1466,365,1458
565,1427,648,1427,648,1466,565,1466
652,1425,736,1431,734,1468,650,1462
221,1434,272,1434,272,1458,221,1458
276,1431,363,1431,363,1466,276,1466
450,1431,506,1431,506,1466,450,1466
509,1431,565,1431,565,1474,509,1474
1087,1434,1197,1434,1197,1470,1087,1470
1268,1434,1328,1434,1328,1466,1268,1466
1387,1431,1561,1431,1561,1470,1387,1470
735,1434,798,1434,798,1470,735,1470
802,1434,873,1434,873,1470,802,1470
881,1434,968,1434,968,1470,881,1470
972,1434,1015,1434,1015,1474,972,1474
1019,1434,1079,1434,1079,1470,1019,1470
1197,1434,1261,1434,1261,1474,1197,1474
1332,1438,1383,1438,1383,1470,1332,1470
234,1464,315,1474,310,1514,228,1503
142,1470,229,1470,229,1514,142,1514
426,1470,486,1470,486,1510,426,1510
723,1474,810,1474,810,1506,723,1506
905,1470,988,1470,988,1506,905,1506
1131,1468,1213,1478,1207,1522,1125,1512
316,1474,367,1474,367,1510,316,1510
375,1478,426,1478,426,1502,375,1502
490,1478,517,1478,517,1510,490,1510
545,1478,569,1478,569,1510,545,1510
573,1474,644,1474,644,1510,573,1510
814,1474,901,1474,901,1514,814,1514
1083,1474,1126,1474,1126,1514,1083,1514
1213,1474,1265,1474,1265,1518,1213,1518
1328,1474,1387,1474,1387,1521,1328,1521
1387,1474,1561,1474,1561,1514,1387,1514
644,1478,715,1478,715,1514,644,1514
992,1482,1031,1482,1031,1514,992,1514
1035,1478,1083,1478,1083,1518,1035,1518
1268,1478,1324,1478,1324,1514,1268,1514
1494,1537,1561,1537,1561,1581,1494,1581
1446,1545,1498,1545,1498,1573,1446,1573
1175,1590,1263,1599,1259,1640,1171,1632
1110,1597,1174,1597,1174,1632,1110,1632
1262,1592,1350,1601,1346,1638,1258,1630
1423,1597,1561,1597,1561,1636,1423,1636
1351,1601,1419,1601,1419,1636,1351,1636
585,1652,644,1652,644,1691,585,1691
644,1650,757,1660,754,1698,641,1687
882,1658,947,1664,944,1694,879,1687
954,1655,1024,1665,1019,1697,949,1687
1075,1658,1155,1664,1153,1693,1073,1687
1157,1662,1324,1657,1324,1691,1158,1696
755,1660,818,1660,818,1695,755,1695
822,1660,877,1660,877,1699,822,1699
1023,1664,1067,1664,1067,1699,1023,1699
1328,1664,1383,1664,1383,1691,1328,1691
1387,1664,1454,1664,1454,1695,1387,1695
1462,1668,1498,1668,1498,1691,1462,1691
1498,1664,1561,1664,1561,1695,1498,1695
174,1696,236,1689,240,1726,178,1733
138,1699,173,1699,173,1731,138,1731
237,1695,308,1695,308,1731,237,1731
359,1699,415,1699,415,1731,359,1731
684,1694,793,1702,790,1740,681,1732
1071,1699,1142,1699,1142,1731,1071,1731
1273,1698,1345,1706,1342,1738,1269,1730
312,1703,351,1703,351,1735,312,1735
415,1699,466,1699,466,1735,415,1735
470,1699,533,1699,533,1735,470,1735
533,1699,581,1699,581,1735,533,1735
585,1703,640,1703,640,1743,585,1743
798,1699,857,1699,857,1735,798,1735
1383,1698,1484,1704,1482,1742,1381,1736
1486,1699,1561,1699,1561,1739,1486,1739
644,1707,683,1707,683,1731,644,1731
861,1707,901,1707,901,1735,861,1735
932,1707,996,1707,996,1739,932,1739
1004,1707,1063,1707,1063,1735,1004,1735
1150,1707,1225,1707,1225,1735,1150,1735
1225,1703,1265,1703,1265,1743,1225,1743
1348,1707,1383,1707,1383,1739,1348,1739
293,1732,373,1738,371,1776,290,1770
375,1735,426,1735,426,1774,375,1774
138,1743,181,1743,181,1771,138,1771
189,1743,245,1743,245,1771,189,1771
249,1743,288,1743,288,1774,249,1774
438,1743,490,1743,490,1771,438,1771
495,1747,556,1740,559,1770,499,1777
561,1739,632,1739,632,1778,561,1778
854,1743,916,1736,920,1774,858,1781
996,1739,1039,1739,1039,1778,996,1778
1344,1739,1395,1739,1395,1778,1344,1778
636,1743,687,1743,687,1778,636,1778
699,1747,735,1747,735,1771,699,1771
739,1743,778,1743,778,1774,739,1774
782,1743,853,1743,853,1782,782,1782
921,1743,992,1743,992,1778,921,1778
1118,1747,1170,1747,1170,1778,1118,1778
1257,1747,1340,1747,1340,1778,1257,1778
1407,1744,1484,1750,1482,1780,1405,1774
1047,1751,1114,1751,1114,1774,1047,1774
1178,1751,1245,1751,1245,1774,1178,1774
1490,1751,1565,1751,1565,1778,1490,1778
199,1787,256,1780,259,1809,202,1816
260,1778,328,1778,328,1818,260,1818
336,1778,395,1778,395,1818,336,1818
577,1776,654,1783,651,1821,574,1814
724,1791,800,1780,804,1810,728,1821
138,1786,193,1786,193,1822,138,1822
395,1782,450,1782,450,1822,395,1822
458,1786,509,1786,509,1818,458,1818
517,1786,573,1786,573,1814,517,1814
873,1786,913,1786,913,1814,873,1814
921,1785,989,1790,987,1821,918,1816
1055,1782,1134,1782,1134,1818,1055,1818
1205,1782,1312,1782,1312,1822,1205,1822
1470,1781,1563,1787,1561,1823,1468,1818
660,1790,719,1790,719,1822,660,1822
806,1786,865,1786,865,1822,806,1822
992,1786,1051,1786,1051,1818,992,1818
1142,1790,1201,1790,1201,1818,1142,1818
1316,1786,1371,1786,1371,1822,1316,1822
1375,1786,1415,1786,1415,1822,1375,1822
1419,1786,1462,1786,1462,1822,1419,1822
1490,1846,1561,1846,1561,1885,1490,1885
169,1881,249,1881,249,1921,169,1921
316,1882,401,1888,398,1918,314,1912
404,1890,457,1881,462,1915,410,1923
1274,1878,1352,1890,1346,1929,1268,1917
1352,1879,1433,1887,1430,1925,1348,1916
134,1885,166,1885,166,1917,134,1917
256,1885,304,1885,304,1917,256,1917
462,1885,517,1885,517,1921,462,1921
529,1889,565,1889,565,1913,529,1913
569,1885,608,1885,608,1921,569,1921
620,1889,687,1889,687,1921,620,1921
695,1889,743,1889,743,1921,695,1921
747,1885,786,1885,786,1921,747,1921
794,1889,834,1889,834,1917,794,1917
1434,1885,1478,1885,1478,1925,1434,1925
845,1893,913,1893,913,1921,845,1921
917,1889,952,1889,952,1921,917,1921
956,1889,1031,1889,1031,1925,956,1925
1043,1893,1098,1893,1098,1921,1043,1921
1106,1893,1146,1893,1146,1921,1106,1921
1154,1893,1209,1893,1209,1917,1154,1917
1217,1889,1268,1889,1268,1925,1217,1925
1486,1893,1561,1893,1561,1929,1486,1929
138,1923,223,1930,220,1959,136,1952
419,1919,493,1927,488,1968,414,1959
225,1929,284,1929,284,1960,225,1960
288,1925,332,1925,332,1960,288,1960
336,1925,415,1925,415,1964,336,1964
550,1923,619,1929,616,1962,546,1956
1129,1931,1292,1926,1293,1960,1130,1965
490,1929,545,1929,545,1964,490,1964
624,1933,683,1933,683,1960,624,1960
687,1929,774,1929,774,1964,687,1964
782,1933,810,1933,810,1964,782,1964
814,1929,893,1929,893,1964,814,1964
897,1929,944,1929,944,1964,897,1964
948,1929,1015,1929,1015,1964,948,1964
1023,1933,1079,1933,1079,1960,1023,1960
1083,1929,1122,1929,1122,1964,1083,1964
1296,1933,1395,1933,1395,1968,1296,1968
1407,1937,1446,1937,1446,1964,1407,1964
1450,1937,1490,1937,1490,1960,1450,1960
1494,1937,1565,1937,1565,1960,1494,1960
134,1968,177,1968,177,1996,134,1996
494,1967,566,1973,564,2002,491,1996
569,1964,648,1964,648,2000,569,2000
790,1967,875,1973,873,2005,788,1999
1083,1967,1153,1974,1150,2006,1080,2000
1399,1967,1480,1972,1478,2004,1397,2000
181,1968,253,1968,253,2004,181,2004
264,1972,320,1972,320,2000,264,2000
328,1972,367,1972,367,2000,328,2000
375,1972,430,1972,430,1996,375,1996
434,1968,486,1968,486,2008,434,2008
652,1968,695,1968,695,2004,652,2004
703,1976,782,1976,782,2008,703,2008
881,1976,940,1976,940,2004,881,2004
948,1976,988,1976,988,2004,948,2004
1000,1976,1075,1976,1075,2008,1000,2008
1162,1976,1225,1976,1225,2004,1162,2004
1229,1972,1276,1972,1276,2008,1229,2008
1284,1976,1312,1976,1312,2008,1284,2008
1320,1976,1391,1976,1391,2008,1320,2008
1482,1972,1561,1972,1561,2012,1482,2012
138,2012,193,2012,193,2039,138,2039
193,2008,264,2008,264,2043,193,2043
264,2008,316,2008,316,2043,264,2043
324,2012,359,2012,359,2043,324,2043
363,2008,426,2008,426,2051,363,2051
656,2008,739,2008,739,2047,656,2047
751,2008,834,2008,834,2047,751,2047
1091,2012,1166,2012,1166,2043,1091,2043
1170,2005,1251,2011,1248,2049,1168,2043
1253,2008,1304,2008,1304,2047,1253,2047
1367,2007,1464,2012,1462,2049,1365,2044
430,2012,474,2012,474,2043,430,2043
509,2016,529,2016,529,2043,509,2043
533,2012,569,2012,569,2043,533,2043
577,2016,652,2016,652,2043,577,2043
842,2012,909,2012,909,2047,842,2047
913,2016,936,2016,936,2047,913,2047
940,2012,1012,2012,1012,2047,940,2047
1015,2016,1083,2016,1083,2043,1015,2043
1312,2016,1363,2016,1363,2047,1312,2047
1462,2016,1518,2016,1518,2051,1462,2051
1525,2020,1561,2020,1561,2047,1525,2047
359,2047,434,2047,434,2091,359,2091
138,2047,193,2047,193,2083,138,2083
260,2051,351,2051,351,2083,260,2083
573,2051,640,2051,640,2079,573,2079
776,2052,884,2044,887,2083,779,2090
960,2050,1041,2056,1039,2086,958,2080
1047,2051,1106,2051,1106,2083,1047,2083
1431,2047,1565,2047,1565,2087,1431,2087
201,2055,253,2055,253,2079,201,2079
450,2055,517,2055,517,2083,450,2083
521,2051,561,2051,561,2087,521,2087
644,2051,707,2051,707,2087,644,2087
715,2055,774,2055,774,2083,715,2083
889,2055,952,2055,952,2087,889,2087
1114,2055,1134,2055,1134,2091,1114,2091
1138,2055,1174,2055,1174,2091,1138,2091
1174,2055,1237,2055,1237,2095,1174,2095
1241,2055,1312,2055,1312,2091,1241,2091
1316,2055,1379,2055,1379,2095,1316,2095
1387,2059,1423,2059,1423,2087,1387,2087
237,2083,371,2083,371,2122,237,2122
711,2087,798,2087,798,2122,711,2122
865,2087,917,2087,917,2126,865,2126
134,2091,177,2091,177,2126,134,2126
185,2095,229,2095,229,2126,185,2126
379,2095,403,2095,403,2126,379,2126
407,2091,442,2091,442,2122,407,2122
454,2095,521,2095,521,2122,454,2122
530,2093,595,2099,592,2128,527,2123
596,2091,660,2091,660,2130,596,2130
1146,2093,1223,2099,1220,2129,1144,2123
1225,2091,1284,2091,1284,2130,1225,2130
1359,2095,1446,2095,1446,2126,1359,2126
1450,2091,1502,2091,1502,2130,1450,2130
672,2099,699,2099,699,2122,672,2122
806,2099,857,2099,857,2126,806,2126
928,2099,1000,2099,1000,2130,928,2130
1012,2099,1087,2099,1087,2130,1012,2130
1095,2095,1134,2095,1134,2130,1095,2130
1510,2095,1561,2095,1561,2130,1510,2130
1328,2103,1351,2103,1351,2122,1328,2122
200,2132,383,2128,384,2162,201,2166
506,2124,607,2134,603,2172,502,2162
169,2134,193,2134,193,2162,169,2162
387,2130,498,2130,498,2170,387,2170
1102,2134,1181,2134,1181,2166,1102,2166
1189,2134,1351,2134,1351,2170,1189,2170
608,2134,664,2134,664,2170,608,2170
668,2134,723,2134,723,2170,668,2170
